FileA,FileB,JPlag,CpgMinimal,CpgStandard,CpgAI,TimeJPlag(ms),TimeMinimalCpg(ms),TimeStandardCpg(ms),TimeAi(ms)
aiGenerated/claude/Project4.java,aiGenerated/claude/Project1.java,0.1714,0.1525,0.1538,0.2466,355.81,685.69,173.64,126.85
aiGenerated/claude/Project4.java,aiGenerated/claude/Project3.java,0.2261,0.1970,0.3511,0.3824,32.42,75.14,66.84,82.60
aiGenerated/claude/Project5.java,aiGenerated/claude/Project6.java,0.8991,0.9016,0.7535,0.7467,30.55,129.55,90.31,139.28
aiGenerated/claude/Project7.java,aiGenerated/claude/Project8.java,0.9547,0.9524,0.9470,0.9779,29.18,230.16,265.42,425.25
aiGenerated/claude/Project9.java,aiGenerated/claude/Project10.java,0.9833,0.9821,0.9844,1.0000,34.02,361.56,440.98,733.66
aiGenerated/gemini/ProjectA.java,aiGenerated/gemini/Project3.java,0.0000,0.0000,0.0000,0.0000,18.81,159.20,138.61,323.10
aiGenerated/gemini/ProjectB.java,aiGenerated/gemini/ProjectI.java,0.0000,0.0000,0.0000,0.0000,19.84,94.63,97.76,126.02
aiGenerated/gemini/ProjectF.java,aiGenerated/grok/project4.java,0.0000,0.0000,0.0000,0.0000,17.02,78.66,85.11,198.52
aiGenerated/gemini/ProjectH.java,aiGenerated/claude/Project1.java,0.0000,0.0000,0.0000,0.0000,15.90,53.94,61.82,83.31
aiGenerated/gemini/ProjectJ.java,aiGenerated/grok/project5.java,0.0000,0.0000,0.0000,0.0000,24.10,70.01,67.14,182.60
aiGenerated/gemini/ProjectL.java,aiGenerated/gemini/Project2.java,0.0000,0.0000,0.0000,0.0000,18.02,81.98,82.76,182.89
aiGenerated/gemini/ProjectN.java,aiGenerated/gemini/ProjectU.java,0.0000,0.1053,0.1091,0.1364,16.52,59.72,60.14,72.07
aiGenerated/gemini/ProjectP.java,aiGenerated/gemini/Project7.java,0.0000,0.0000,0.0000,0.0000,18.04,163.69,193.07,249.33
aiGenerated/gemini/ProjectT.java,aiGenerated/perplexityLabs/Project4.java,0.0000,0.0000,0.0000,0.0000,14.19,32.58,44.02,51.05
aiGenerated/gemini/Project1.java,aiGenerated/geminiPlag/NetworkController.java,0.0000,0.0000,0.0000,0.0000,17.78,38.08,44.01,76.05
aiGenerated/gemini/Project1.java,aiGenerated/gemini/Project8.java,0.1132,0.0000,0.1370,0.1667,18.23,86.27,91.37,128.92
aiGenerated/gemini/Project7.java,aiGenerated/gemini/ProjectG.java,0.0000,0.0905,0.0000,0.0000,15.79,108.39,137.00,299.41
aiGenerated/gemini/Project4.java,aiGenerated/gemini/ProjectC.java,0.0000,0.0000,0.0000,0.0000,17.36,173.53,180.95,346.73
aiGenerated/gemini/Project4.java,aiGenerated/gemini/ProjectQ.java,0.0896,0.0000,0.0000,0.0000,16.40,196.37,231.38,263.36
aiGenerated/gemini/ProjectH.java,aiGenerated/perplexityLabs/Project3.java,0.0000,0.0000,0.0000,0.0000,13.53,41.92,61.57,83.55
aiGenerated/geminiPlag/NetworkController.java,aiGenerated/grok/project2.java,0.0000,0.0000,0.0000,0.0000,14.77,30.18,43.75,63.50
aiGenerated/claude/Project1.java,aiGenerated/gemini/ProjectO.java,0.0000,0.0000,0.0000,0.0000,14.75,42.12,40.55,54.11
aiGenerated/claude/Project4.java,aiGenerated/claude/Project8.java,0.0000,0.0000,0.0000,0.0000,15.00,65.42,84.39,163.16
aiGenerated/claude/Project4.java,aiGenerated/grok/project8.java,0.0000,0.0000,0.0000,0.0000,16.28,81.97,82.50,139.07
aiGenerated/claude/Project5.java,aiGenerated/claude/Project2.java,0.0000,0.0000,0.1241,0.1748,17.36,28.55,35.32,49.55
aiGenerated/claude/Project7.java,aiGenerated/claude/Project3.java,0.0000,0.0425,0.0000,0.0000,14.06,67.46,89.26,158.95
aiGenerated/claude/Project9.java,aiGenerated/geminiPlag/GridOverseer.java,0.0234,0.0233,0.0278,0.0409,19.66,137.14,216.60,358.13
aiGenerated/perplexityLabs/Project1.java,aiGenerated/gemini/Project8.java,0.0000,0.0000,0.0000,0.0000,18.65,89.22,97.91,116.99
aiGenerated/perplexityLabs/Project1.java,aiGenerated/gemini/ProjectE.java,0.0000,0.0000,0.0000,0.0000,17.20,27.47,46.99,46.62
aiGenerated/grok/project1.java,aiGenerated/claude/Project10.java,0.0000,0.0000,0.0000,0.0000,20.04,126.62,155.61,309.54
aiGenerated/grok/project3.java,aiGenerated/gemini/ProjectM.java,0.0000,0.0000,0.0000,0.0000,14.28,44.53,45.26,79.63
aiGenerated/grok/project3.java,aiGenerated/grok/project5.java,0.7632,0.3902,0.3951,0.5366,13.37,28.45,29.02,39.92
aiGenerated/grok/project4.java,aiGenerated/gemini/ProjectK.java,0.0000,0.0000,0.0000,0.0000,13.24,65.28,61.84,176.48
aiGenerated/grok/project6.java,aiGenerated/claude/Project6.java,0.0451,0.0911,0.0619,0.0647,15.73,118.28,137.49,193.86
