FileA,FileB,JPlag,CpgMinimal,CpgStandard,CpgAI,TimeJPlag(ms),TimeMinimalCpg(ms),TimeStandardCpg(ms),TimeAi(ms)
aiGenerated/claude/Project4.java,aiGenerated/claude/Project1.java,0.1714,0.1525,0.1538,0.2466,350.32,674.71,142.44,137.52
aiGenerated/claude/Project4.java,aiGenerated/claude/Project3.java,0.2261,0.1970,0.3511,0.3824,37.62,56.25,48.58,70.29
aiGenerated/claude/Project5.java,aiGenerated/claude/Project6.java,0.8991,0.9016,0.7535,0.7467,33.30,79.82,98.41,135.23
aiGenerated/claude/Project7.java,aiGenerated/claude/Project8.java,0.9547,0.9524,0.9470,0.9779,26.70,157.14,176.20,240.21
aiGenerated/claude/Project9.java,aiGenerated/claude/Project10.java,0.9833,0.9821,0.9844,1.0000,30.79,259.82,319.93,450.07
aiGenerated/gemini/ProjectA.java,aiGenerated/gemini/ProjectC.java,0.7468,0.7781,0.8026,0.8425,23.27,96.30,82.06,177.63
aiGenerated/gemini/ProjectB.java,aiGenerated/gemini/ProjectE.java,0.5306,0.5854,0.5963,0.6512,21.04,35.59,34.67,43.34
aiGenerated/gemini/ProjectF.java,aiGenerated/gemini/ProjectG.java,0.5352,0.5939,0.5965,0.6700,17.89,42.92,114.31,183.79
aiGenerated/gemini/ProjectH.java,aiGenerated/gemini/ProjectI.java,0.8471,0.8372,0.8929,0.8889,16.70,39.68,36.32,62.77
aiGenerated/gemini/ProjectJ.java,aiGenerated/gemini/ProjectK.java,0.7524,0.6564,0.6598,0.6776,18.09,51.71,60.62,88.90
aiGenerated/gemini/ProjectL.java,aiGenerated/gemini/ProjectM.java,0.9674,0.9615,0.9583,1.0000,16.70,69.45,72.21,134.88
aiGenerated/gemini/ProjectN.java,aiGenerated/gemini/ProjectO.java,0.8586,0.7912,0.8023,0.9925,17.31,39.42,41.13,62.43
aiGenerated/gemini/ProjectP.java,aiGenerated/gemini/ProjectQ.java,0.6351,0.5877,0.5471,0.5648,17.41,38.88,47.58,127.82
aiGenerated/gemini/ProjectT.java,aiGenerated/gemini/ProjectU.java,1.0000,1.0000,1.0000,1.0000,16.72,29.21,30.82,36.72
aiGenerated/gemini/Project1.java,aiGenerated/gemini/Project2.java,0.5167,0.5120,0.5246,0.6038,17.14,32.81,34.86,47.37
aiGenerated/gemini/Project1.java,aiGenerated/gemini/Project3.java,0.1802,0.2051,0.2124,0.0000,17.29,19.55,31.71,38.65
aiGenerated/gemini/Project7.java,aiGenerated/gemini/Project8.java,0.6178,0.4268,0.5195,0.5556,14.84,36.90,59.42,115.64
aiGenerated/gemini/Project4.java,aiGenerated/gemini/Project7.java,0.6597,0.4294,0.5912,0.6309,20.42,45.63,44.40,65.92
aiGenerated/gemini/Project4.java,aiGenerated/gemini/Project8.java,0.8316,0.6289,0.7239,0.6853,18.28,32.32,38.91,67.20
aiGenerated/gemini/ProjectH.java,aiGenerated/geminiPlag/NetworkController.java,0.6667,0.5033,0.8027,0.9496,13.85,21.87,30.60,52.66
aiGenerated/gemini/ProjectJ.java,aiGenerated/geminiPlag/ServerProcessManager.java,0.4054,0.1193,0.0935,0.0952,18.07,38.29,48.59,94.37
aiGenerated/geminiPlag/NetworkController.java,aiGenerated/geminiPlag/GridOverseer.java,0.4720,0.1863,0.2436,0.2436,14.02,39.67,50.33,46.54
aiGenerated/claude/Project1.java,aiGenerated/claude/Project2.java,0.7216,0.6667,0.6667,0.6076,15.66,14.69,20.50,25.15
aiGenerated/claude/Project4.java,aiGenerated/claude/Project1.java,0.1714,0.1525,0.1538,0.2466,13.16,14.42,18.89,25.98
aiGenerated/claude/Project4.java,aiGenerated/claude/Project3.java,0.2261,0.1970,0.3511,0.3824,14.79,25.85,25.58,30.66
aiGenerated/claude/Project5.java,aiGenerated/claude/Project6.java,0.8991,0.9016,0.7535,0.7467,14.24,32.31,46.95,49.30
aiGenerated/claude/Project7.java,aiGenerated/claude/Project8.java,0.9547,0.9524,0.9470,0.9779,17.25,74.73,113.59,161.30
aiGenerated/claude/Project9.java,aiGenerated/claude/Project10.java,0.9833,0.9821,0.9844,1.0000,18.04,150.23,224.86,381.19
aiGenerated/perplexityLabs/Project1.java,aiGenerated/perplexityLabs/Project3.java,0.6970,0.8507,0.8462,1.0000,14.28,21.37,29.19,37.15
aiGenerated/perplexityLabs/Project1.java,aiGenerated/perplexityLabs/Project4.java,0.5000,0.6718,0.6667,0.8421,13.06,17.23,27.77,36.08
aiGenerated/grok/project1.java,aiGenerated/grok/project2.java,0.9750,0.9778,0.9773,0.9730,18.21,13.64,17.41,27.39
aiGenerated/grok/project3.java,aiGenerated/grok/project4.java,0.5333,0.5000,0.5000,0.5366,15.66,15.06,20.86,28.07
aiGenerated/grok/project3.java,aiGenerated/grok/project5.java,0.7632,0.3902,0.3951,0.5366,14.78,14.51,17.40,22.43
aiGenerated/grok/project4.java,aiGenerated/grok/project5.java,0.4737,0.7561,0.7654,1.0000,14.93,13.92,18.97,26.17
aiGenerated/grok/project6.java,aiGenerated/grok/project7.java,0.8727,0.8552,0.8650,0.8662,25.43,97.57,105.23,191.77
aiGenerated/grok/project6.java,aiGenerated/grok/project8.java,0.5067,0.4939,0.4577,0.5269,14.40,62.50,78.46,126.10
aiGenerated/grok/project7.java,aiGenerated/grok/project8.java,0.5896,0.5939,0.5756,0.6141,13.28,64.99,73.16,126.19
