FileName,NoRemoval,SimpleRemoval,FullRemoval,TimeNoRemoval(ms),TimeSimpleRemoval(ms),TimeFullRemoval(ms),JavaLanguageFeatureNotSupported,CpgErrorException
progpedia/00000006/ACCEPTED/00092_00001/cigarras.java,100.0000,100.0000,100.0000,8.17,10.34,10.38,false,false
progpedia/00000006/ACCEPTED/00010_00001/pc.java,100.0000,100.0000,0.0000,10.16,8.34,12.03,true,false
progpedia/00000006/ACCEPTED/00201_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,6.89,6.72,9.20,false,false
progpedia/00000006/ACCEPTED/00008_00002/Cigarras.java,100.0000,100.0000,100.0000,10.66,10.80,21.91,false,false
progpedia/00000006/ACCEPTED/00030_00001/cigarras.java,100.0000,100.0000,100.0000,10.50,8.37,11.94,false,false
progpedia/00000006/ACCEPTED/00058_00001/CigarrasTontas.java,100.0000,100.0000,0.0000,7.58,7.00,9.67,true,false
progpedia/00000006/ACCEPTED/00209_00001/cigarras.java,100.0000,100.0000,100.0000,8.70,6.98,8.69,false,false
progpedia/00000006/ACCEPTED/00094_00001/probA.java,100.0000,100.0000,100.0000,7.40,7.12,7.96,false,false
progpedia/00000006/ACCEPTED/00080_00003/cigarras.java,100.0000,100.0000,100.0000,6.88,7.03,7.91,false,false
progpedia/00000006/ACCEPTED/00062_00001/Cigarras.java,100.0000,100.0000,100.0000,6.61,7.58,12.17,false,false
progpedia/00000006/ACCEPTED/00177_00002/cigarra.java,100.0000,100.0000,100.0000,9.46,8.53,13.61,false,false
progpedia/00000006/ACCEPTED/00049_00004/Cigarras.java,100.0000,100.0000,100.0000,5.98,6.01,8.48,false,false
progpedia/00000006/ACCEPTED/00221_00002/DAA1A.java,100.0000,100.0000,100.0000,4.83,4.81,6.26,false,false
progpedia/00000006/ACCEPTED/00223_00004/Trabalho.java,100.0000,100.0000,0.0000,5.54,5.62,6.07,true,false
progpedia/00000006/ACCEPTED/00111_00001/Cigarras.java,100.0000,100.0000,100.0000,4.85,4.86,6.85,false,false
progpedia/00000006/ACCEPTED/00195_00002/cigarras.java,100.0000,100.0000,100.0000,5.12,4.51,6.08,false,false
progpedia/00000006/ACCEPTED/00074_00001/ProbA.java,100.0000,100.0000,0.0000,5.77,5.54,7.26,true,false
progpedia/00000006/ACCEPTED/00009_00002/ProbA.java,100.0000,100.0000,100.0000,6.73,6.60,8.49,false,false
progpedia/00000006/ACCEPTED/00069_00003/cigarras.java,100.0000,100.0000,100.0000,6.49,7.29,11.25,false,false
progpedia/00000006/ACCEPTED/00046_00001/cigarras.java,100.0000,100.0000,0.0000,7.50,8.28,9.06,true,false
progpedia/00000006/ACCEPTED/00094_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,5.37,5.72,7.56,false,false
progpedia/00000006/ACCEPTED/00102_00003/cigarrastontas.java,100.0000,100.0000,100.0000,8.91,7.99,14.03,false,false
progpedia/00000006/ACCEPTED/00150_00005/Cigarras.java,100.0000,100.0000,100.0000,9.46,8.82,24.55,false,false
progpedia/00000006/ACCEPTED/00097_00003/CigarrasTontas.java,100.0000,100.0000,100.0000,8.04,8.42,12.19,false,false
progpedia/00000006/ACCEPTED/00095_00001/Cigarras.java,100.0000,100.0000,100.0000,5.30,5.05,7.61,false,false
progpedia/00000006/ACCEPTED/00130_00001/A.java,100.0000,100.0000,66.9600,14.70,15.34,29.20,false,false
progpedia/00000006/ACCEPTED/00179_00003/Cigarras.java,100.0000,100.0000,100.0000,5.93,6.97,7.42,false,false
progpedia/00000006/ACCEPTED/00117_00001/Cigarra.java,100.0000,100.0000,100.0000,5.66,6.20,8.01,false,false
progpedia/00000006/ACCEPTED/00087_00014/Sigarras.java,100.0000,100.0000,0.0000,8.41,8.75,11.46,true,false
